DATE SNWD SNOW
20140802 0 0
20140803 0 0
20140804 0 0
20140805 0 0
20140806 0 0
20140807 0 0
20140808 0 0
20140809 0 0
20140810 0 0
20140811 0 0
20140812 0 0
20140813 0 0
20140814 0 0
20140815 0 0
20140816 0 0
20140817 0 0
20140818 0 0
20140819 0 0
20140820 0 0
20140821 0 0
20140822 0 0
20140823 0 0
20140824 0 0
20140825 0 0
20140826 0 0
20140827 0 0
20140828 0 0
20140829 0 0
20140830 0 0
20140831 0 0
20140901 0 0
20140902 0 0
20140903 0 0
20140904 0 0
20140905 0 0
20140906 0 0
20140907 0 0
20140908 0 0
20140909 0 0
20140910 0 0
20140911 0 0
20140912 0 0
20140913 0 0
20140914 0 0
20140915 0 0
20140916 0 0
20140917 0 0
20140918 0 0
20140919 0 0
20140920 0 0
20140921 0 0
20140922 0 0
20140923 0 0
20140924 0 0
20140925 0 0
20140926 0 0
20140927 0 0
20140928 0 0
20140929 0 0
20140930 0 0
20141001 0 0
20141002 0 0
20141003 0 0
20141004 0 0
20141005 0 0
20141006 0 0
20141007 0 0
20141008 0 0
20141009 0 0
20141010 0 0
20141011 0 0
20141012 0 0
20141013 0 0
20141014 0 0
20141015 0 0
20141016 0 0
20141017 0 0
20141018 0 0
20141019 0 0
20141020 0 0
20141021 0 0
20141022 0 0
20141023 0 0
20141024 0 0
20141025 0 0
20141026 0 0
20141027 0 0
20141028 0 0
20141029 0 0
20141030 0 0
20141031 0 0
20141101 0 0
20141102 0 0
20141103 0 0
20141104 0 0
20141105 0 0
20141106 0 0
20141107 0 0
20141108 0 0
20141109 0 0
20141110 51 51
20141111 76 38
20141112 76 5
20141113 76 5
20141114 76 0
20141115 76 0
20141116 127 36
20141117 127 3
20141118 102 0
20141119 127 25
20141120 127 3
20141121 127 0
20141122 102 0
20141123 51 0
20141124 0 8
20141125 0 3
20141126 25 13
20141127 51 46
20141128 51 23
20141129 51 0
20141130 25 0
20141201 25 0
20141202 25 0
20141203 51 8
20141204 51 0
20141205 51 0
20141206 51 0
20141207 51 0
20141208 51 3
20141209 25 0
20141210 25 0
20141211 25 0
20141212 25 0
20141213 0 0
20141214 0 0
20141215 0 0
20141216 25 30
20141217 25 3
20141218 25 0
20141219 51 8
20141220 25 0
20141221 0 0
20141222 0 8
20141223 0 0
20141224 0 3
20141225 0 0
20141226 0 0
20141227 127 122
20141228 102 0
20141229 102 0
20141230 76 0
20141231 76 0
